[ 2025-02-12 11:35:36,876 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-12 11:35:54,838 ] 57 root - INFO - Performed train test split on the dataframe
[ 2025-02-12 11:35:54,838 ] 59 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-12 11:35:54,838 ] 67 root - INFO - Exporting train and test file path.
[ 2025-02-12 11:35:54,940 ] 76 root - INFO - Exported train and test file path.
[ 2025-02-12 11:35:54,941 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-12 11:35:54,955 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-12 11:35:54,991 ] 32 root - INFO - Required number of columns :2
[ 2025-02-12 11:35:55,001 ] 33 root - INFO - Data Frame has columns :31
[ 2025-02-12 11:35:55,002 ] 32 root - INFO - Required number of columns :2
[ 2025-02-12 11:35:55,002 ] 33 root - INFO - Data Frame has columns :31
[ 2025-02-12 11:35:55,177 ] 28 root - INFO - data Validation Completed
[ 2025-02-12 11:35:55,178 ] 31 root - INFO - data Transformation started
[ 2025-02-12 11:35:55,178 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-12 11:35:55,178 ] 65 root - INFO - Starting data transformation
[ 2025-02-12 11:35:55,220 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-12 11:35:55,220 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-12 11:35:55,245 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-12 11:35:55,248 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-12 11:35:55,248 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-12 11:35:55,250 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-12 11:35:55,252 ] 35 root - INFO - data Transformation completed
[ 2025-02-12 11:35:55,252 ] 37 root - INFO - Model Training sstared
[ 2025-02-12 11:39:39,080 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-12 11:39:39,082 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-12 11:39:39,082 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-12 11:39:39,130 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-12 11:39:39,130 ] 105 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_12_2025_11_35_34\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9895236212690255, precision_score=0.9885466034755134, recall_score=0.9905025722200237), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9715686274509804, precision_score=0.9668292682926829, recall_score=0.9763546798029556))
[ 2025-02-12 11:39:39,134 ] 42 root - INFO - Model Training artifact created
